 Log10[q2](GeV^2)   Log10[r2](GeV^2)   theta          G1Gluon          G1Ghost          G1Quark          G1Sword
-4.0000000E+0    -1.8275862E+0     8.2673491E-1     1.1439948E-2    -2.1724491E-1     4.0720479E-1    -8.5902131E-1
-4.0000000E+0    -1.8275862E+0     9.9208189E-1     1.1402365E-2    -2.1782160E-1     4.0725043E-1    -8.5904051E-1
-4.0000000E+0    -1.8275862E+0     1.1574289E+0     1.1360491E-2    -2.1847417E-1     4.0730138E-1    -8.5906194E-1
-4.0000000E+0    -1.8275862E+0     1.3227759E+0     1.1315038E-2    -2.1918738E-1     4.0735656E-1    -8.5908501E-1
-4.0000000E+0    -1.8275862E+0     1.4881228E+0     1.1267322E-2    -2.1994415E-1     4.0741452E-1    -8.5910909E-1
-4.0000000E+0    -1.8275862E+0     1.6534698E+0     1.1218624E-2    -2.2072541E-1     4.0747363E-1    -8.5913350E-1
-4.0000000E+0    -1.8275862E+0     1.8188168E+0     1.1170227E-2    -2.2151046E-1     4.0753222E-1    -8.5915756E-1
-4.0000000E+0    -1.8275862E+0     1.9841638E+0     1.1123687E-2    -2.2227727E-1     4.0758861E-1    -8.5918060E-1
-4.0000000E+0    -1.8275862E+0     2.1495108E+0     1.1080286E-2    -2.2300325E-1     4.0764119E-1    -8.5920198E-1
-4.0000000E+0    -1.8275862E+0     2.3148577E+0     1.1041265E-2    -2.2366577E-1     4.0768845E-1    -8.5922111E-1
-4.0000000E+0    -1.8275862E+0     2.4802047E+0     1.1007726E-2    -2.2424334E-1     4.0772916E-1    -8.5923747E-1
-4.0000000E+0    -1.8275862E+0     2.6455517E+0     1.0980608E-2    -2.2471638E-1     4.0776226E-1    -8.5925064E-1
-4.0000000E+0    -1.8275862E+0     2.8108987E+0     1.0960493E-2    -2.2506839E-1     4.0778697E-1    -8.5926029E-1
-4.0000000E+0    -1.8275862E+0     2.9762457E+0     1.0947917E-2    -2.2528678E-1     4.0780272E-1    -8.5926617E-1
-4.0000000E+0    -1.5862069E+0     1.0000000E-2     1.4286786E-2    -1.8527256E-1     4.0377278E-1    -8.5755559E-1
-4.0000000E+0    -1.5862069E+0     1.6534698E-1     1.4282298E-2    -1.8531347E-1     4.0377720E-1    -8.5755842E-1
-4.0000000E+0    -1.5862069E+0     3.3069396E-1     1.4267429E-2    -1.8544169E-1     4.0379451E-1    -8.5756685E-1
-4.0000000E+0    -1.5862069E+0     4.9604095E-1     1.4242545E-2    -1.8565449E-1     4.0382424E-1    -8.5758065E-1
-4.0000000E+0    -1.5862069E+0     6.6138793E-1     1.4208208E-2    -1.8594723E-1     4.0386557E-1    -8.5759944E-1
-4.0000000E+0    -1.5862069E+0     8.2673491E-1     1.4165400E-2    -1.8631345E-1     4.0391734E-1    -8.5762271E-1
-4.0000000E+0    -1.5862069E+0     9.9208189E-1     1.4115164E-2    -1.8674489E-1     4.0397811E-1    -8.5764983E-1
-4.0000000E+0    -1.5862069E+0     1.1574289E+0     1.4058898E-2    -1.8723158E-1     4.0404617E-1    -8.5768004E-1
