 Log10[q2](GeV^2) Log10[r2](GeV^2)    theta            G4Gluon         G4Ghost           GQuark          G4Sword
-4.0000000E+0    -2.5517241E+0     2.4802047E+0     3.3678579E-7    -7.6257148E-3    -2.4115669E-5     1.8341828E-7
-4.0000000E+0    -2.5517241E+0     2.6455517E+0    -3.2965461E-9    -7.6418435E-3    -2.3858270E-5    -3.9543420E-7
-4.0000000E+0    -2.5517241E+0     2.8108987E+0    -1.3844200E-6    -7.6558307E-3    -2.3743409E-5    -6.1848409E-7
-4.0000000E+0    -2.5517241E+0     2.9762457E+0    -8.0862745E-7    -7.6626922E-3    -2.5182018E-5    -6.8235630E-7
-4.0000000E+0    -2.3103448E+0     1.0000000E-2    -7.0294887E-6    -8.1795277E-3    -5.6127438E-5     2.9349543E-6
-4.0000000E+0    -2.3103448E+0     1.6534698E-1    -1.2141992E-6    -8.1813253E-3    -5.6940541E-5     2.9870953E-6
-4.0000000E+0    -2.3103448E+0     3.3069396E-1    -2.9501804E-7    -8.1760842E-3    -5.5727382E-5     3.1701841E-6
-4.0000000E+0    -2.3103448E+0     4.9604095E-1    -1.2420891E-6    -8.1640477E-3    -5.5757659E-5     3.4723433E-6
-4.0000000E+0    -2.3103448E+0     6.6138793E-1    -2.4709726E-7    -8.1492079E-3    -5.6073080E-5     3.8683958E-6
-4.0000000E+0    -2.3103448E+0     8.2673491E-1     1.1438031E-6    -8.1296785E-3    -5.7912161E-5     4.3342434E-6
-4.0000000E+0    -2.3103448E+0     9.9208189E-1     3.3044927E-6    -8.1087470E-3    -5.8745831E-5     4.8375600E-6
-4.0000000E+0    -2.3103448E+0     1.1574289E+0     5.4378209E-6    -8.0862279E-3    -5.9209662E-5     5.3270088E-6
-4.0000000E+0    -2.3103448E+0     1.3227759E+0     5.7684675E-6    -8.0649887E-3    -5.8689272E-5     5.7565617E-6
-4.0000000E+0    -2.3103448E+0     1.4881228E+0     7.0999207E-6    -8.0476956E-3    -6.0592430E-5     6.0863362E-6
-4.0000000E+0    -2.3103448E+0     1.6534698E+0     8.9246095E-6    -7.9912800E-3    -6.2926409E-5     6.2740026E-6
-4.0000000E+0    -2.3103448E+0     1.8188168E+0     5.4094384E-6    -8.0134554E-3    -5.6430417E-5     6.2856023E-6
-4.0000000E+0    -2.3103448E+0     1.9841638E+0     2.1935614E-6    -8.0059628E-3    -5.0107962E-5     6.1028780E-6
-4.0000000E+0    -2.3103448E+0     2.1495108E+0    -5.2643573E-7    -8.0025492E-3    -4.4580524E-5     5.7269545E-6
-4.0000000E+0    -2.3103448E+0     2.3148577E+0    -2.0817409E-6    -8.0084862E-3    -4.2716878E-5     5.1861554E-6
-4.0000000E+0    -2.3103448E+0     2.4802047E+0    -3.1994522E-6    -8.0175997E-3    -4.2742044E-5     4.5398827E-6
-4.0000000E+0    -2.3103448E+0     2.6455517E+0    -1.9019141E-6    -8.0260267E-3    -4.3898183E-5     3.8778658E-6
-4.0000000E+0    -2.3103448E+0     2.8108987E+0     1.6442029E-6    -8.0333584E-3    -4.2763293E-5     3.3087487E-6
-4.0000000E+0    -2.3103448E+0     2.9762457E+0    -3.5371391E-7    -8.0371086E-3    -4.2659642E-5     2.9229873E-6
-4.0000000E+0    -2.0689655E+0     1.0000000E-2    -2.0284070E-6    -8.3905225E-3    -1.1196355E-4     1.8483174E-5
-4.0000000E+0    -2.0689655E+0     1.6534698E-1     4.3505505E-6    -8.3909839E-3    -1.1112037E-4     1.8536074E-5
-4.0000000E+0    -2.0689655E+0     3.3069396E-1    -5.6371472E-8    -8.3892284E-3    -1.0844410E-4     1.8690674E-5
-4.0000000E+0    -2.0689655E+0     4.9604095E-1     2.3395430E-7    -8.3843357E-3    -1.0711474E-4     1.8931287E-5
-4.0000000E+0    -2.0689655E+0     6.6138793E-1     1.2491346E-6    -8.3761132E-3    -1.0057925E-4     1.9232672E-5
-4.0000000E+0    -2.0689655E+0     8.2673491E-1     3.6379712E-6    -8.3626057E-3    -9.9925881E-5     1.9561082E-5
-4.0000000E+0    -2.0689655E+0     9.9208189E-1     9.7739234E-7    -8.3503535E-3    -9.8033446E-5     1.9876538E-5
-4.0000000E+0    -2.0689655E+0     1.1574289E+0    -2.0305302E-6    -8.3376361E-3    -9.3496176E-5     2.0137079E-5
-4.0000000E+0    -2.0689655E+0     1.3227759E+0    -5.4049546E-6    -8.3248594E-3    -8.8475549E-5     2.0298483E-5
-4.0000000E+0    -2.0689655E+0     1.4881228E+0    -1.2913551E-5    -8.3092714E-3    -8.1279142E-5     2.0318490E-5
-4.0000000E+0    -2.0689655E+0     1.6534698E+0    -1.7290397E-5    -8.2682248E-3    -7.4303315E-5     2.0163454E-5
-4.0000000E+0    -2.0689655E+0     1.8188168E+0    -1.8709081E-5    -8.2843479E-3    -6.7453035E-5     1.9812897E-5
-4.0000000E+0    -2.0689655E+0     1.9841638E+0    -1.2947630E-5    -8.2903090E-3    -6.9265020E-5     1.9265030E-5
-4.0000000E+0    -2.0689655E+0     2.1495108E+0    -1.0214984E-5    -8.2935865E-3    -7.2554605E-5     1.8542257E-5
-4.0000000E+0    -2.0689655E+0     2.3148577E+0    -6.6008774E-6    -8.2988457E-3    -7.6287013E-5     1.7693890E-5
-4.0000000E+0    -2.0689655E+0     2.4802047E+0    -4.6471918E-6    -8.3067698E-3    -7.4333559E-5     1.6795146E-5
-4.0000000E+0    -2.0689655E+0     2.6455517E+0    -5.2399664E-6    -8.3117649E-3    -7.9247896E-5     1.5940482E-5
-4.0000000E+0    -2.0689655E+0     2.8108987E+0    -4.7430261E-6    -8.3148514E-3    -7.9388898E-5     1.5231251E-5
-4.0000000E+0    -2.0689655E+0     2.9762457E+0    -9.8384059E-7    -8.3142094E-3    -8.1447665E-5     1.4761502E-5
-4.0000000E+0    -1.8275862E+0     1.0000000E-2    -3.4963160E-5    -8.5154998E-3    -1.7455300E-4     4.1681450E-5
-4.0000000E+0    -1.8275862E+0     1.6534698E-1    -1.7947853E-5    -8.5172288E-3    -1.5244901E-4     4.1742289E-5
-4.0000000E+0    -1.8275862E+0     3.3069396E-1    -2.8463407E-5    -8.5169956E-3    -1.5078707E-4     4.1919433E-5
-4.0000000E+0    -1.8275862E+0     4.9604095E-1    -3.1222441E-5    -8.5148017E-3    -1.4467323E-4     4.2195102E-5
-4.0000000E+0    -1.8275862E+0     6.6138793E-1    -2.2774180E-5    -8.5083636E-3    -1.3884135E-4     4.2541193E-5
-4.0000000E+0    -1.8275862E+0     8.2673491E-1    -2.1577802E-5    -8.5036107E-3    -1.3769488E-4     4.2920758E-5
-4.0000000E+0    -1.8275862E+0     9.9208189E-1    -1.6649033E-5    -8.4957790E-3    -1.4411250E-4     4.3290351E-5
-4.0000000E+0    -1.8275862E+0     1.1574289E+0    -1.7520769E-5    -8.4924936E-3    -1.5191736E-4     4.3602907E-5
-4.0000000E+0    -1.8275862E+0     1.3227759E+0    -1.2165225E-5    -8.4888710E-3    -1.5656247E-4     4.3812144E-5
-4.0000000E+0    -1.8275862E+0     1.4881228E+0    -1.2924449E-5    -8.4855680E-3    -1.6146371E-4     4.3877072E-5
-4.0000000E+0    -1.8275862E+0     1.6534698E+0    -1.3170521E-5    -8.4848246E-3    -1.6523582E-4     4.3766721E-5
-4.0000000E+0    -1.8275862E+0     1.8188168E+0    -1.6886411E-7    -8.4832453E-3    -1.6729308E-4     4.3465387E-5
-4.0000000E+0    -1.8275862E+0     1.9841638E+0     3.8820596E-6    -8.4855118E-3    -1.6932321E-4     4.2977233E-5
-4.0000000E+0    -1.8275862E+0     2.1495108E+0     6.7401263E-6    -8.4852714E-3    -1.6875727E-4     4.2329360E-5
-4.0000000E+0    -1.8275862E+0     2.3148577E+0     8.4099404E-6    -8.4895390E-3    -1.6457256E-4     4.1572454E-5
-4.0000000E+0    -1.8275862E+0     2.4802047E+0     8.3528121E-6    -8.4904748E-3    -1.6275813E-4     4.0777824E-5
-4.0000000E+0    -1.8275862E+0     2.6455517E+0     1.6673157E-6    -8.4943274E-3    -1.6416164E-4     4.0030295E-5
-4.0000000E+0    -1.8275862E+0     2.8108987E+0     2.4469134E-6    -8.4945194E-3    -1.6598577E-4     3.9417160E-5
-4.0000000E+0    -1.8275862E+0     2.9762457E+0     9.6038011E-6    -8.4936454E-3    -1.6611867E-4     3.9014368E-5
-4.0000000E+0    -1.5862069E+0     1.0000000E-2     6.7268934E-6    -8.5573584E-3    -3.4268763E-4     1.2743792E-4
-4.0000000E+0    -1.5862069E+0     1.6534698E-1     1.4002432E-5    -8.5591630E-3    -3.3506919E-4     1.2741760E-4
-4.0000000E+0    -1.5862069E+0     3.3069396E-1     1.6464144E-5    -8.5596908E-3    -3.3294864E-4     1.2735067E-4
-4.0000000E+0    -1.5862069E+0     4.9604095E-1     9.1228775E-6    -8.5599838E-3    -3.2712683E-4     1.2722040E-4
-4.0000000E+0    -1.5862069E+0     6.6138793E-1     1.3443990E-5    -8.5571720E-3    -3.2428510E-4     1.2700046E-4
-4.0000000E+0    -1.5862069E+0     8.2673491E-1     9.0159701E-6    -8.5569855E-3    -3.2369635E-4     1.2665748E-4
-4.0000000E+0    -1.5862069E+0     9.9208189E-1     1.9930175E-5    -8.5548554E-3    -3.2676590E-4     1.2615457E-4
-4.0000000E+0    -1.5862069E+0     1.1574289E+0     3.7745828E-5    -8.5510066E-3    -3.2687177E-4     1.2545572E-4
-4.0000000E+0    -1.5862069E+0     1.3227759E+0     4.1397225E-5    -8.5512932E-3    -3.2388106E-4     1.2453076E-4
-4.0000000E+0    -1.5862069E+0     1.4881228E+0     1.2139164E-5    -8.5493465E-3    -3.2603734E-4     1.2336102E-4
-4.0000000E+0    -1.5862069E+0     1.6534698E+0    -5.4910934E-6    -8.5638825E-3    -3.1874129E-4     1.2194493E-4
-4.0000000E+0    -1.5862069E+0     1.8188168E+0     2.9111791E-5    -8.5551173E-3    -3.0892832E-4     1.2030305E-4
-4.0000000E+0    -1.5862069E+0     1.9841638E+0     3.1841637E-5    -8.5528201E-3    -3.0242438E-4     1.1848166E-4
