 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta            G1              G2               G3               G4
-4.0000000E+0    -2.0689655E+0     4.7835458E-1     3.1184556E-1     5.3507180E-3     1.9933987E-2    -8.4735139E-3
-4.0000000E+0    -2.0689655E+0     6.3447277E-1     3.1137893E-1     5.3224823E-3     1.9919931E-2    -8.4591586E-3
-4.0000000E+0    -2.0689655E+0     7.9059097E-1     3.1079390E-1     5.4407282E-3     1.9902698E-2    -8.4425787E-3
-4.0000000E+0    -2.0689655E+0     9.4670916E-1     3.1010071E-1     5.3698597E-3     1.9883778E-2    -8.4306997E-3
-4.0000000E+0    -2.0689655E+0     1.1028274E+0     3.0931177E-1     5.2882188E-3     1.9864022E-2    -8.4182930E-3
-4.0000000E+0    -2.0689655E+0     1.2589455E+0     3.0844197E-1     5.3173226E-3     1.9844391E-2    -8.4030778E-3
-4.0000000E+0    -2.0689655E+0     1.4150637E+0     3.0750856E-1     5.3121740E-3     1.9826009E-2    -8.3935993E-3
-4.0000000E+0    -2.0689655E+0     1.5711819E+0     3.0653072E-1     5.3019827E-3     1.9809753E-2    -8.3589854E-3
-4.0000000E+0    -2.0689655E+0     1.7273001E+0     3.0553099E-1     5.3112153E-3     1.9796715E-2    -8.3400761E-3
-4.0000000E+0    -2.0689655E+0     1.8834183E+0     3.0453361E-1     5.3088274E-3     1.9787455E-2    -8.3537445E-3
-4.0000000E+0    -2.0689655E+0     2.0395365E+0     3.0356370E-1     5.3168718E-3     1.9781810E-2    -8.3539006E-3
-4.0000000E+0    -2.0689655E+0     2.1956547E+0     3.0264814E-1     5.3244070E-3     1.9779700E-2    -8.3597709E-3
-4.0000000E+0    -2.0689655E+0     2.3517729E+0     3.0181347E-1     5.3351228E-3     1.9780351E-2    -8.3649141E-3
-4.0000000E+0    -2.0689655E+0     2.5078911E+0     3.0108547E-1     5.3414101E-3     1.9783011E-2    -8.3706187E-3
-4.0000000E+0    -2.0689655E+0     2.6640093E+0     3.0048788E-1     5.2880738E-3     1.9786880E-2    -8.3812374E-3
-4.0000000E+0    -2.0689655E+0     2.8201275E+0     3.0004069E-1     5.2231866E-3     1.9789498E-2    -8.3837051E-3
-4.0000000E+0    -2.0689655E+0     2.9762457E+0     2.9975960E-1     5.5817775E-3     1.9790413E-2    -8.3818794E-3
-4.0000000E+0    -1.8275862E+0     1.0000000E-2     3.4379238E-1     5.8692742E-3     2.0371532E-2    -8.6833345E-3
-4.0000000E+0    -1.8275862E+0     1.6611819E-1     3.4373516E-1     5.7158895E-3     2.0371180E-2    -8.6458655E-3
