 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta        G2Gluon          G2Ghost           G2Quark          G2Sword
-4.0000000E+0    -3.0344828E+0     8.2673491E-1    -2.9024881E-1     4.7923261E-3     3.1158611E-5     3.4697461E-5
-4.0000000E+0    -3.0344828E+0     9.9208189E-1     5.8793485E-2     4.7265462E-3     3.0851902E-5     3.3564001E-5
-4.0000000E+0    -3.0344828E+0     1.1574289E+0    -2.4396005E-2     4.6562596E-3     3.0662652E-5     3.2254010E-5
-4.0000000E+0    -3.0344828E+0     1.3227759E+0    -1.0264502E-2     4.5884940E-3     3.0618679E-5     3.0818214E-5
-4.0000000E+0    -3.0344828E+0     1.4881228E+0     7.8907185E-3     4.5334016E-3     2.9413517E-5     2.9388235E-5
-4.0000000E+0    -3.0344828E+0     1.6534698E+0     8.7239920E-3     4.4864317E-3     2.7573556E-5     2.7979376E-5
-4.0000000E+0    -3.0344828E+0     1.8188168E+0     6.3710392E-3     4.4603701E-3     2.6349939E-5     2.6593903E-5
-4.0000000E+0    -3.0344828E+0     1.9841638E+0     4.7681134E-3     4.4529472E-3     2.5167506E-5     2.5151134E-5
-4.0000000E+0    -3.0344828E+0     2.1495108E+0     2.8959120E-3     4.4667587E-3     2.3783253E-5     2.3718673E-5
-4.0000000E+0    -3.0344828E+0     2.3148577E+0     2.0810015E-3     4.5003573E-3     2.2066087E-5     2.2351576E-5
-4.0000000E+0    -3.0344828E+0     2.4802047E+0     1.3481155E-3     4.5551124E-3     2.0191312E-5     2.1260778E-5
-4.0000000E+0    -3.0344828E+0     2.6455517E+0     8.8190273E-2     4.6433685E-3     1.8697138E-5     2.0450994E-5
-4.0000000E+0    -3.0344828E+0     2.8108987E+0     2.1414417E-1     4.7364167E-3     1.7319294E-5     1.9874880E-5
-4.0000000E+0    -3.0344828E+0     2.9762457E+0     3.0880274E-2     5.0617818E-3     1.2964704E-5     1.9525766E-5
-4.0000000E+0    -2.7931034E+0     1.0000000E-2    -6.2518714E-4     5.4824521E-3     5.3014030E-5     5.8001712E-5
-4.0000000E+0    -2.7931034E+0     1.6534698E-1    -6.2406125E-4     5.3378680E-3     5.6725948E-5     5.7844234E-5
-4.0000000E+0    -2.7931034E+0     3.3069396E-1    -6.1682529E-4     5.1580633E-3     5.4383129E-5     5.7374251E-5
-4.0000000E+0    -2.7931034E+0     4.9604095E-1    -6.1416383E-4     5.0060063E-3     5.2507220E-5     5.6604859E-5
-4.0000000E+0    -2.7931034E+0     6.6138793E-1    -6.8865521E-4     4.9739798E-3     5.0410680E-5     5.5558774E-5
-4.0000000E+0    -2.7931034E+0     8.2673491E-1    -1.3216261E-1     4.9357186E-3     4.9792152E-5     5.4273263E-5
-4.0000000E+0    -2.7931034E+0     9.9208189E-1     2.6273355E-2     4.8928554E-3     4.8755673E-5     5.2817094E-5
-4.0000000E+0    -2.7931034E+0     1.1574289E+0    -1.1495711E-2     4.8494448E-3     4.7526242E-5     5.1337654E-5
-4.0000000E+0    -2.7931034E+0     1.3227759E+0    -5.0720685E-3     4.8089387E-3     4.6759046E-5     4.9921994E-5
-4.0000000E+0    -2.7931034E+0     1.4881228E+0     3.1441003E-3     4.7740605E-3     4.5395013E-5     4.8418692E-5
-4.0000000E+0    -2.7931034E+0     1.6534698E+0     3.4995609E-3     4.7495116E-3     4.4422724E-5     4.6836802E-5
-4.0000000E+0    -2.7931034E+0     1.8188168E+0     2.4468261E-3     4.7393445E-3     4.3803765E-5     4.5204747E-5
-4.0000000E+0    -2.7931034E+0     1.9841638E+0     1.7049372E-3     4.7375755E-3     4.1742204E-5     4.3579577E-5
-4.0000000E+0    -2.7931034E+0     2.1495108E+0     8.3498946E-4     4.7521247E-3     3.9568362E-5     4.2001905E-5
-4.0000000E+0    -2.7931034E+0     2.3148577E+0     4.4909641E-4     4.7833667E-3     3.7013034E-5     4.0522201E-5
-4.0000000E+0    -2.7931034E+0     2.4802047E+0     1.1080676E-4     4.8305571E-3     3.5018456E-5     3.9233502E-5
-4.0000000E+0    -2.7931034E+0     2.6455517E+0     3.9678060E-2     4.8798536E-3     3.4020081E-5     3.8217024E-5
-4.0000000E+0    -2.7931034E+0     2.8108987E+0     9.7377303E-2     4.9236090E-3     3.3157645E-5     3.7468775E-5
-4.0000000E+0    -2.7931034E+0     2.9762457E+0     1.4164699E-2     5.2196264E-3     2.6574555E-5     3.7007972E-5
-4.0000000E+0    -2.5517241E+0     1.0000000E-2    -8.5679697E-5     5.5408294E-3     3.4879134E-5     9.4674685E-5
-4.0000000E+0    -2.5517241E+0     1.6534698E-1    -8.2686695E-5     5.3910915E-3     4.1076185E-5     9.4464746E-5
-4.0000000E+0    -2.5517241E+0     3.3069396E-1    -6.4431566E-5     5.1969942E-3     8.1827862E-5     9.3841241E-5
-4.0000000E+0    -2.5517241E+0     4.9604095E-1    -3.0797946E-5     5.0771109E-3     8.1378083E-5     9.2834263E-5
-4.0000000E+0    -2.5517241E+0     6.6138793E-1     1.9506412E-5     5.0570080E-3     8.2238988E-5     9.1499435E-5
-4.0000000E+0    -2.5517241E+0     8.2673491E-1    -4.5394820E-2     5.0342831E-3     8.2228069E-5     8.9933417E-5
-4.0000000E+0    -2.5517241E+0     9.9208189E-1     8.6701389E-3     5.0102977E-3     8.0618635E-5     8.8220176E-5
-4.0000000E+0    -2.5517241E+0     1.1574289E+0    -4.2251354E-3     4.9870469E-3     8.0415930E-5     8.6292622E-5
-4.0000000E+0    -2.5517241E+0     1.3227759E+0    -2.0288099E-3     4.9641024E-3     7.9280257E-5     8.4187245E-5
-4.0000000E+0    -2.5517241E+0     1.4881228E+0     7.5807512E-4     4.9450143E-3     7.6201097E-5     8.1935959E-5
-4.0000000E+0    -2.5517241E+0     1.6534698E+0     8.6415607E-4     4.9429595E-3     7.2557886E-5     7.9592703E-5
-4.0000000E+0    -2.5517241E+0     1.8188168E+0     5.1193572E-4     4.9235463E-3     7.0204163E-5     7.7216115E-5
-4.0000000E+0    -2.5517241E+0     1.9841638E+0     2.4781055E-4     4.9275300E-3     6.8033428E-5     7.4867250E-5
-4.0000000E+0    -2.5517241E+0     2.1495108E+0    -6.3419832E-5     4.9420512E-3     6.5398833E-5     7.2615959E-5
-4.0000000E+0    -2.5517241E+0     2.3148577E+0    -2.0746066E-4     4.9648892E-3     6.3392739E-5     7.0535512E-5
-4.0000000E+0    -2.5517241E+0     2.4802047E+0    -3.2821117E-4     4.9920614E-3     6.0702343E-5     6.8699606E-5
-4.0000000E+0    -2.5517241E+0     2.6455517E+0     1.3266955E-2     5.0195787E-3     5.9315720E-5     6.7220033E-5
-4.0000000E+0    -2.5517241E+0     2.8108987E+0     3.3293750E-2     5.0435644E-3     5.8979467E-5     6.6195586E-5
-4.0000000E+0    -2.5517241E+0     2.9762457E+0     4.8829642E-3     5.3247199E-3     4.9014755E-5     6.5590248E-5
-4.0000000E+0    -2.3103448E+0     1.0000000E-2    -6.2783980E-5     5.5616545E-3     8.6462261E-5     1.5897351E-4
-4.0000000E+0    -2.3103448E+0     1.6534698E-1    -6.5961741E-5     5.4073991E-3     9.7015412E-5     1.5873090E-4
-4.0000000E+0    -2.3103448E+0     3.3069396E-1    -5.4923285E-5     5.2009214E-3     1.4375209E-4     1.5801859E-4
-4.0000000E+0    -2.3103448E+0     4.9604095E-1    -2.9629235E-5     5.1069242E-3     1.3719038E-4     1.5685200E-4
-4.0000000E+0    -2.3103448E+0     6.6138793E-1     2.0308770E-5     5.0943828E-3     1.3845636E-4     1.5525258E-4
-4.0000000E+0    -2.3103448E+0     8.2673491E-1    -8.5946684E-3     5.0802179E-3     1.3585794E-4     1.5325464E-4
-4.0000000E+0    -2.3103448E+0     9.9208189E-1     1.3633123E-3     5.0649932E-3     1.3342183E-4     1.5090061E-4
-4.0000000E+0    -2.3103448E+0     1.1574289E+0    -1.0157011E-3     5.0508507E-3     1.3069009E-4     1.4823581E-4
-4.0000000E+0    -2.3103448E+0     1.3227759E+0    -6.0982339E-4     5.0385328E-3     1.2819542E-4     1.4531824E-4
-4.0000000E+0    -2.3103448E+0     1.4881228E+0    -1.0463157E-4     5.0288601E-3     1.2473962E-4     1.4221705E-4
-4.0000000E+0    -2.3103448E+0     1.6534698E+0    -9.1816628E-5     5.0393206E-3     1.2087559E-4     1.3900703E-4
-4.0000000E+0    -2.3103448E+0     1.8188168E+0    -1.5527421E-4     5.0275998E-3     1.1988141E-4     1.3577061E-4
-4.0000000E+0    -2.3103448E+0     1.9841638E+0    -2.0989021E-4     5.0343086E-3     1.1875309E-4     1.3259707E-4
-4.0000000E+0    -2.3103448E+0     2.1495108E+0    -2.7477386E-4     5.0466675E-3     1.1713804E-4     1.2957974E-4
-4.0000000E+0    -2.3103448E+0     2.3148577E+0    -3.0850356E-4     5.0606717E-3     1.1476692E-4     1.2681402E-4
-4.0000000E+0    -2.3103448E+0     2.4802047E+0    -3.3457905E-4     5.0764101E-3     1.1071827E-4     1.2439371E-4
-4.0000000E+0    -2.3103448E+0     2.6455517E+0     2.2116801E-3     5.0923193E-3     1.0650551E-4     1.2240701E-4
-4.0000000E+0    -2.3103448E+0     2.8108987E+0     6.0594911E-3     5.1049075E-3     1.1121151E-4     1.2093092E-4
-4.0000000E+0    -2.3103448E+0     2.9762457E+0     8.2200826E-4     5.3807383E-3     9.4718629E-5     1.2002157E-4
-4.0000000E+0    -2.0689655E+0     1.0000000E-2    -2.7254558E-4     5.5246009E-3     2.0548909E-4     2.7569875E-4
-4.0000000E+0    -2.0689655E+0     1.6534698E-1    -2.8581461E-4     5.3669166E-3     2.2364175E-4     2.7535738E-4
-4.0000000E+0    -2.0689655E+0     3.3069396E-1    -2.8594457E-4     5.1581926E-3     2.2689934E-4     2.7433688E-4
-4.0000000E+0    -2.0689655E+0     4.9604095E-1    -2.7956302E-4     5.0850574E-3     2.3366453E-4     2.7265978E-4
-4.0000000E+0    -2.0689655E+0     6.6138793E-1    -2.6912919E-4     5.0786340E-3     2.3252349E-4     2.7036133E-4
-4.0000000E+0    -2.0689655E+0     8.2673491E-1    -4.1138322E-4     5.0726197E-3     2.3010006E-4     2.6749056E-4
-4.0000000E+0    -2.0689655E+0     9.9208189E-1    -2.6765077E-4     5.0656833E-3     2.2742895E-4     2.6411026E-4
-4.0000000E+0    -2.0689655E+0     1.1574289E+0    -2.9883316E-4     5.0595541E-3     2.2539086E-4     2.6029723E-4
-4.0000000E+0    -2.0689655E+0     1.3227759E+0    -2.9020587E-4     5.0550873E-3     2.2345951E-4     2.5614024E-4
-4.0000000E+0    -2.0689655E+0     1.4881228E+0    -2.8129426E-4     5.0542524E-3     2.2200479E-4     2.5173930E-4
-4.0000000E+0    -2.0689655E+0     1.6534698E+0    -2.7795130E-4     5.0662742E-3     2.2027852E-4     2.4720529E-4
-4.0000000E+0    -2.0689655E+0     1.8188168E+0    -2.7644592E-4     5.0609905E-3     2.1812899E-4     2.4265790E-4
-4.0000000E+0    -2.0689655E+0     1.9841638E+0    -2.7478857E-4     5.0632812E-3     2.1316076E-4     2.3822323E-4
-4.0000000E+0    -2.0689655E+0     2.1495108E+0    -2.7453064E-4     5.0700000E-3     2.0789176E-4     2.3403088E-4
-4.0000000E+0    -2.0689655E+0     2.3148577E+0    -2.7386604E-4     5.0786461E-3     2.0264220E-4     2.3020988E-4
-4.0000000E+0    -2.0689655E+0     2.4802047E+0    -2.7393762E-4     5.0876115E-3     1.9927304E-4     2.2688373E-4
-4.0000000E+0    -2.0689655E+0     2.6455517E+0    -2.3304301E-4     5.0972558E-3     1.9425190E-4     2.2416476E-4
-4.0000000E+0    -2.0689655E+0     2.8108987E+0    -1.5949839E-4     5.1048422E-3     1.9855730E-4     2.2214824E-4
-4.0000000E+0    -2.0689655E+0     2.9762457E+0    -2.3123015E-4     5.3780167E-3     1.7055512E-4     2.2090757E-4
-4.0000000E+0    -1.8275862E+0     1.0000000E-2    -4.9349049E-4     5.4354357E-3     2.8983737E-4     4.8139315E-4
-4.0000000E+0    -1.8275862E+0     1.6534698E-1    -5.1780945E-4     5.2758982E-3     3.2130897E-4     4.8092142E-4
-4.0000000E+0    -1.8275862E+0     3.3069396E-1    -5.2200938E-4     5.0620718E-3     4.0289690E-4     4.7951145E-4
-4.0000000E+0    -1.8275862E+0     4.9604095E-1    -5.1971513E-4     5.0082482E-3     4.1104927E-4     4.7719629E-4
-4.0000000E+0    -1.8275862E+0     6.6138793E-1    -5.1328002E-4     5.0064314E-3     4.0710179E-4     4.7402786E-4
-4.0000000E+0    -1.8275862E+0     8.2673491E-1    -5.0917166E-4     5.0030736E-3     4.0205423E-4     4.7007811E-4
-4.0000000E+0    -1.8275862E+0     9.9208189E-1    -5.0243849E-4     5.0007580E-3     3.9524253E-4     4.6543833E-4
-4.0000000E+0    -1.8275862E+0     1.1574289E+0    -4.9716605E-4     4.9971139E-3     3.8740955E-4     4.6021796E-4
-4.0000000E+0    -1.8275862E+0     1.3227759E+0    -4.8919105E-4     4.9948840E-3     3.8045138E-4     4.5454350E-4
-4.0000000E+0    -1.8275862E+0     1.4881228E+0    -4.8357819E-4     4.9943049E-3     3.7307607E-4     4.4855668E-4
-4.0000000E+0    -1.8275862E+0     1.6534698E+0    -4.7749408E-4     4.9948846E-3     3.6606517E-4     4.4241203E-4
-4.0000000E+0    -1.8275862E+0     1.8188168E+0    -4.6614308E-4     4.9980827E-3     3.5995035E-4     4.3627400E-4
-4.0000000E+0    -1.8275862E+0     1.9841638E+0    -4.5851781E-4     5.0021003E-3     3.5383192E-4     4.3031321E-4
-4.0000000E+0    -1.8275862E+0     2.1495108E+0    -4.5199758E-4     5.0089456E-3     3.4889442E-4     4.2470187E-4
-4.0000000E+0    -1.8275862E+0     2.3148577E+0    -4.4612561E-4     5.0153209E-3     3.4630113E-4     4.1960839E-4
-4.0000000E+0    -1.8275862E+0     2.4802047E+0    -4.4104464E-4     5.0233782E-3     3.4283667E-4     4.1519124E-4
-4.0000000E+0    -1.8275862E+0     2.6455517E+0    -4.3949853E-4     5.0293392E-3     3.4202389E-4     4.1159244E-4
-4.0000000E+0    -1.8275862E+0     2.8108987E+0    -4.3717935E-4     5.0338923E-3     3.4207186E-4     4.0893097E-4
-4.0000000E+0    -1.8275862E+0     2.9762457E+0    -4.3298476E-4     5.3040247E-3     2.9412636E-4     4.0729666E-4
-4.0000000E+0    -1.5862069E+0     1.0000000E-2    -8.2849295E-4     5.2652939E-3     5.4310086E-4     8.6811184E-4
-4.0000000E+0    -1.5862069E+0     1.6534698E-1    -8.7066480E-4     5.1059221E-3     5.9723232E-4     8.6740397E-4
-4.0000000E+0    -1.5862069E+0     3.3069396E-1    -8.7015853E-4     4.8858408E-3     6.5039553E-4     8.6528897E-4
-4.0000000E+0    -1.5862069E+0     4.9604095E-1    -8.6960302E-4     4.8475220E-3     6.6450121E-4     8.6181846E-4
-4.0000000E+0    -1.5862069E+0     6.6138793E-1    -8.6403418E-4     4.8477185E-3     6.5856348E-4     8.5707350E-4
-4.0000000E+0    -1.5862069E+0     8.2673491E-1    -8.6096213E-4     4.8468139E-3     6.5222531E-4     8.5116615E-4
-4.0000000E+0    -1.5862069E+0     9.9208189E-1    -8.5179365E-4     4.8470413E-3     6.4598767E-4     8.4423799E-4
-4.0000000E+0    -1.5862069E+0     1.1574289E+0    -8.3975576E-4     4.8484541E-3     6.4003950E-4     8.3645816E-4
-4.0000000E+0    -1.5862069E+0     1.3227759E+0    -8.3210351E-4     4.8491981E-3     6.3433858E-4     8.2802066E-4
-4.0000000E+0    -1.5862069E+0     1.4881228E+0    -8.3507520E-4     4.8519161E-3     6.2625161E-4     8.1914102E-4
-4.0000000E+0    -1.5862069E+0     1.6534698E+0    -8.3372052E-4     4.8498131E-3     6.2187960E-4     8.1005216E-4
-4.0000000E+0    -1.5862069E+0     1.8188168E+0    -8.1507682E-4     4.8576883E-3     6.1811678E-4     8.0099931E-4
-4.0000000E+0    -1.5862069E+0     1.9841638E+0    -8.0708116E-4     4.8642895E-3     6.1305484E-4     7.9223398E-4
-4.0000000E+0    -1.5862069E+0     2.1495108E+0    -8.0407409E-4     4.8704322E-3     6.0943573E-4     7.8400694E-4
-4.0000000E+0    -1.5862069E+0     2.3148577E+0    -8.0395956E-4     4.8758144E-3     6.0691605E-4     7.7656035E-4
-4.0000000E+0    -1.5862069E+0     2.4802047E+0    -7.9740607E-4     4.8828512E-3     6.0606607E-4     7.7011939E-4
